"levelId","code","levelType","playMode","passed","simulatorError","attempt","seed","state","shotLimit","shotsFired","clearRemainingShots","timeLimitSeconds","remainingTimeSeconds","score","boardCells","sourceName","errorMessage"
"846","L846_SYMBOLIC_PATTERNS","normal","shot_limited","true","false","1","1602931680","won_settlement_pending","43","24","19","","","22826","0","levels_pack_801_900.json#level_846",""
"847","L847_SYMBOLIC_PATTERNS","normal","shot_limited","true","false","1","4250226065","won_settlement_pending","44","33","11","","","20793","4","levels_pack_801_900.json#level_847",""
"848","L848_SYMBOLIC_PATTERNS","normal","shot_limited","false","false","1","2468214622","out_of_shots_add_ball_prompt","44","44","0","","","5560","60","levels_pack_801_900.json#level_848",""
"849","L849_SYMBOLIC_PATTERNS","normal","shot_limited","false","false","2","3206031254","out_of_shots_add_ball_prompt","44","44","0","","","5390","55","levels_pack_801_900.json#level_849",""
"850","L850_SYMBOLIC_PATTERNS","special_floating_island","timed_infinite_shots","false","false","2","1590738469","lost_objective","","36","","90","15.45","9865","4","levels_pack_801_900.json#level_850",""
"851","L851_SYMBOLIC_PATTERNS","normal","shot_limited","false","false","1","1991731821","lost_objective","42","26","16","","","6353","0","levels_pack_801_900.json#level_851",""
"852","L852_SYMBOLIC_PATTERNS","normal","shot_limited","true","false","1","343927834","won_settlement_pending","43","20","23","","","32203","0","levels_pack_801_900.json#level_852",""
"853","L853_SYMBOLIC_PATTERNS","normal","shot_limited","false","false","1","2852558795","lost_objective","42","30","12","","","8143","0","levels_pack_801_900.json#level_853",""
"854","L854_SYMBOLIC_PATTERNS","normal","shot_limited","true","false","1","1238440312","won_settlement_pending","43","42","1","","","11134","2","levels_pack_801_900.json#level_854",""
"855","L855_SYMBOLIC_PATTERNS","normal","shot_limited","true","false","1","4019815209","won_settlement_pending","43","35","8","","","14277","0","levels_pack_801_900.json#level_855",""
"856","L856_SYMBOLIC_PATTERNS","normal","shot_limited","true","false","1","2376075990","won_settlement_pending","43","25","18","","","16525","0","levels_pack_801_900.json#level_856",""
"857","L857_SYMBOLIC_PATTERNS","normal","shot_limited","true","false","1","594054279","won_settlement_pending","44","31","13","","","15607","4","levels_pack_801_900.json#level_857",""
