levelId,code,levelType,playMode,passed,simulatorError,attempt,seed,state,shotLimit,shotsFired,clearRemainingShots,timeLimitSeconds,remainingTimeSeconds,score,boardCells,sourceName,errorMessage
430,L430_SYMBOLIC_PATTERNS,special_floating_island,timed_infinite_shots,true,false,1,1173391964,won,,20,,90,48.25,19209,4,levels_pack_401_500.json#level_430,
431,L431_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,3686469101,won_settlement_pending,40,15,25,,,23399,0,levels_pack_401_500.json#level_431,
432,L432_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,2034481058,won_settlement_pending,41,14,27,,,52816,0,levels_pack_401_500.json#level_432,
433,L433_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,520763763,out_of_shots_add_ball_prompt,40,40,0,,,3273,39,levels_pack_401_500.json#level_433,
434,L434_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,3201475328,won_settlement_pending,41,20,21,,,13977,2,levels_pack_401_500.json#level_434,
435,L435_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,1553803985,out_of_shots_add_ball_prompt,41,41,0,,,12683,18,levels_pack_401_500.json#level_435,
436,L436_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,4070943846,lost_objective,41,22,19,,,7265,0,levels_pack_401_500.json#level_436,
437,L437_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,2423019063,lost_objective,42,26,16,,,6467,4,levels_pack_401_500.json#level_437,
438,L438_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,909433284,out_of_shots_add_ball_prompt,43,43,0,,,3265,70,levels_pack_401_500.json#level_438,
439,L439_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,3590275989,out_of_shots_add_ball_prompt,43,43,0,,,4330,36,levels_pack_401_500.json#level_439,
440,L440_SYMBOLIC_PATTERNS,special_floating_island,timed_infinite_shots,false,false,1,1804059946,lost_objective,,46,,90,3,8425,4,levels_pack_401_500.json#level_440,
441,L441_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,156126459,lost_objective,35,14,21,,,3870,0,levels_pack_401_500.json#level_441,
442,L442_TRAPPED_SPRITE_RESCUE,trapped_sprite_rescue,shot_limited,false,true,1,2937517704,simulator_error,40,3,37,,,30,119,levels_pack_401_500.json#level_442,Trapped sprite rescue bubble impact requires an attachment cell.
443,L443_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,1294039129,out_of_shots_add_ball_prompt,40,40,0,,,4080,17,levels_pack_401_500.json#level_443,
444,L444_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,3974751214,won_settlement_pending,41,17,24,,,36512,2,levels_pack_401_500.json#level_444,
445,L445_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,2192598463,lost_objective,41,20,21,,,4272,0,levels_pack_401_500.json#level_445,
446,L446_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,544796492,lost_objective,41,20,21,,,5452,0,levels_pack_401_500.json#level_446,
447,L447_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,3322122525,lost_objective,42,42,0,,,6478,4,levels_pack_401_500.json#level_447,
448,L448_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,1707743442,lost_objective,43,42,1,,,6753,4,levels_pack_401_500.json#level_448,
449,L449_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,4220682851,out_of_shots_add_ball_prompt,43,43,0,,,2914,48,levels_pack_401_500.json#level_449,
450,L450_SYMBOLIC_PATTERNS,special_floating_island,timed_infinite_shots,false,false,1,2573009968,lost_objective,,41,,90,0,3731,40,levels_pack_401_500.json#level_450,
451,L451_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,1063620545,lost_objective,40,39,1,,,4797,0,levels_pack_401_500.json#level_451,
452,L452_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,3710661014,lost_objective,30,17,13,,,3093,0,levels_pack_401_500.json#level_452,
453,L453_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,2096413479,lost_objective,40,8,32,,,4159,0,levels_pack_401_500.json#level_453,
454,L454_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,314516212,won_settlement_pending,34,32,2,,,8349,2,levels_pack_401_500.json#level_454,
455,L455_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,2957485189,lost_objective,41,31,10,,,8429,0,levels_pack_401_500.json#level_455,
456,L456_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,1443769946,out_of_shots_add_ball_prompt,41,41,0,,,1902,86,levels_pack_401_500.json#level_456,
457,L457_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,4124496363,lost_objective,42,28,14,,,5853,4,levels_pack_401_500.json#level_457,
458,L458_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,2346802104,lost_objective,43,33,10,,,8505,4,levels_pack_401_500.json#level_458,
459,L459_SYMBOLIC_PATTERNS,normal,shot_limited,false,false,1,698998089,out_of_shots_add_ball_prompt,43,43,0,,,3112,49,levels_pack_401_500.json#level_459,
460,L460_SYMBOLIC_PATTERNS,special_floating_island,timed_infinite_shots,false,false,1,3480241950,lost_objective,,42,,90,0,9838,32,levels_pack_401_500.json#level_460,
461,L461_SYMBOLIC_PATTERNS,normal,shot_limited,true,false,1,1832439471,won_settlement_pending,40,25,15,,,9337,0,levels_pack_401_500.json#level_461,
